problem,law,section,solution,solution_based_on_law,risk_category,applicable_conditions,expected_answer
A government office in Chandigarh is treating my application differently from others without any valid reason. I don't want to go to court if it can be avoided.,Constitution of India,Article 14,"Request a written explanation from the authority for the differential treatment, and if unsatisfactory, consider filing a representation to a higher authority or a writ petition before the High Court.","The Constitution guarantees equality before the law and equal protection of the laws, meaning similarly situated persons must be treated alike by the State, absent a reasonable and lawful basis for differentiation.",Constitutional,You would need to show that you and the other person(s) are similarly situated and that there is no reasonable justification for the differential treatment.,"This raises an issue under Constitution of India (Article 14), the right to equality. You can request a written explanation from the authority, and if the differential treatment is unjustified, a writ petition can be filed before the High Court. Documentation showing the comparison with similarly placed persons will help."
My relative has been threatening to harm me if I do not comply with their demands.,"Bharatiya Nyaya Sanhita, 2023",Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text),"File a police complaint or FIR describing the threats, and preserve any messages, recordings, or witnesses as evidence; a protection order may also be sought where relevant.","Threatening a person with injury to their person, reputation, or property, with intent to cause alarm or to compel them to act against their will, constitutes criminal intimidation.",Criminal,"The exact wording of the threat, its context, and whether it was intended to cause alarm or compel a specific act are needed, and the precise clause should be confirmed against the Act text.","This may amount to criminal intimidation under Bharatiya Nyaya Sanhita, 2023 (Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text)). File a police complaint describing the threats and preserve any messages, call recordings, or witness statements. If the threats come from a family member, you may also explore remedies under domestic violence law depending on the relationship."
"I was sold a gas geyser based on a false claim about its features, which turned out to be untrue. I don't want to go to court if it can be avoided.","Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
"I agreed to buy goods worth Rs. 5,20,000 from a supplier, but they are now refusing to deliver despite having accepted payment. I have all the receipts and messages saved.","Indian Contract Act, 1872",Section 37; Section 73,"Issue a written demand for performance of the contract or, alternatively, refund with compensation, and pursue legal remedies if the vendor continues to default.","Parties to a contract are bound to perform their respective promises, and where a party fails to do so, the aggrieved party may seek performance or compensation for the resulting loss.",Contract,"A valid contract must exist between the parties, payment or consideration must have been given, and non-performance must be established.","Under the Indian Contract Act, 1872 (Section 37) and Indian Contract Act, 1872 (Section 73), parties are obligated to perform their contractual promises. You can send a written demand for delivery or refund with compensation, and pursue a civil suit if the vendor continues to default. Keep the order confirmation and payment records."
I believe I was denied a government benefit that others in the same situation received. I live alone and don't have much support right now.,Constitution of India,Article 14,"Request a written explanation from the authority for the differential treatment, and if unsatisfactory, consider filing a representation to a higher authority or a writ petition before the High Court.","The Constitution guarantees equality before the law and equal protection of the laws, meaning similarly situated persons must be treated alike by the State, absent a reasonable and lawful basis for differentiation.",Constitutional,You would need to show that you and the other person(s) are similarly situated and that there is no reasonable justification for the differential treatment.,"This raises an issue under Constitution of India (Article 14), the right to equality. You can request a written explanation from the authority, and if the differential treatment is unjustified, a writ petition can be filed before the High Court. Documentation showing the comparison with similarly placed persons will help."
My business partner has been threatening to harm me if I do not comply with their demands. This happened for the first time recently.,"Bharatiya Nyaya Sanhita, 2023",Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text),"File a police complaint or FIR describing the threats, and preserve any messages, recordings, or witnesses as evidence; a protection order may also be sought where relevant.","Threatening a person with injury to their person, reputation, or property, with intent to cause alarm or to compel them to act against their will, constitutes criminal intimidation.",Criminal,"The exact wording of the threat, its context, and whether it was intended to cause alarm or compel a specific act are needed, and the precise clause should be confirmed against the Act text.","This may amount to criminal intimidation under Bharatiya Nyaya Sanhita, 2023 (Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text)). File a police complaint describing the threats and preserve any messages, call recordings, or witness statements. If the threats come from a family member, you may also explore remedies under domestic violence law depending on the relationship."
My personal photos from a private conversation were leaked to a group chat without my permission.,"Information Technology Act, 2000",Section 66E,"Report the content to the platform for immediate takedown, do not engage with the person circulating it, preserve evidence (screenshots, links), and file a complaint with the Cyber Cell or on the National Cyber Crime Reporting Portal.","Capturing, publishing, or transmitting images of a person's private area or private moments without consent, violating their bodily or personal privacy, is a specific offence under the Act.",Cybercrime,"Details of how and where the image was shared, and whether it involves capturing a private area or a broader privacy violation, help determine the precise applicable provision.","This concerns Information Technology Act, 2000 (Section 66E), which protects against violations of personal privacy through electronic means. Report the content for takedown immediately, preserve screenshots, and file a complaint with the Cyber Cell or on cybercrime.gov.in. Depending on further facts, provisions of the Bharatiya Nyaya Sanhita, 2023 relating to privacy and modesty may also apply."
Someone created a fake social media account using my photos and personal details and is contacting my friends pretending to be me. This has been really stressful for me and my family.,"Information Technology Act, 2000",Section 66C,"Report the fake profile to the platform for takedown, file a complaint on the National Cyber Crime Reporting Portal (cybercrime.gov.in) or at the nearest Cyber Cell, and preserve screenshots as evidence.","The fraudulent or dishonest use of another person's electronic identity information, such as photos combined with personal details used to impersonate them online, falls within the Act's identity theft provision.",Cybercrime,"Screenshots of the fake profile, proof that it is not actually operated by you, and details of any resulting harm (harassment, financial loss) strengthen the complaint.","This is a matter of identity theft under the Information Technology Act, 2000 (Section 66C). Report the fake profile to the platform, file a complaint on cybercrime.gov.in or at your local Cyber Cell, and preserve screenshots as evidence."
I had a dispute with a employer and I'm not sure if I have any legal case. I want to know my rights in this situation.,Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I was in an accident and the other driver's vehicle had no valid insurance, so the insurer is refusing my claim. I want to know my rights in this situation.","Motor Vehicles Act, 1988",Section 146 and Section 196,"File a claim before the Motor Accident Claims Tribunal; where the offending vehicle is uninsured, compensation can still be pursued against the vehicle owner directly, or in some cases through the Insurance Council's uninsured vehicles fund.","Driving a motor vehicle without a valid insurance policy covering third-party risk is itself an offence, and separately, a victim's right to claim compensation for the accident is not extinguished merely because the offending vehicle lacked insurance.",Traffic,"Proof that the vehicle was uninsured, the accident details, and the extent of damage or injury are needed.","This involves Motor Vehicles Act, 1988 (Section 146 and Section 196). Even if the other vehicle was uninsured, you can still file a claim before the Motor Accident Claims Tribunal against the vehicle owner. A lawyer can advise on pursuing the uninsured vehicles compensation route as well."
An online seller advertised a wooden dining table at one price but charged me a higher amount at checkout without explanation. Please tell me what I can legally do.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
"I paid a online seller Rs. 15,000 in advance for AC servicing, but the work was left incomplete and they stopped responding. I have a few messages as proof but nothing else.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
My personal photos from a private conversation were leaked to a group chat without my permission. I'm worried this might happen again.,"Information Technology Act, 2000",Section 66E,"Report the content to the platform for immediate takedown, do not engage with the person circulating it, preserve evidence (screenshots, links), and file a complaint with the Cyber Cell or on the National Cyber Crime Reporting Portal.","Capturing, publishing, or transmitting images of a person's private area or private moments without consent, violating their bodily or personal privacy, is a specific offence under the Act.",Cybercrime,"Details of how and where the image was shared, and whether it involves capturing a private area or a broader privacy violation, help determine the precise applicable provision.","This concerns Information Technology Act, 2000 (Section 66E), which protects against violations of personal privacy through electronic means. Report the content for takedown immediately, preserve screenshots, and file a complaint with the Cyber Cell or on cybercrime.gov.in. Depending on further facts, provisions of the Bharatiya Nyaya Sanhita, 2023 relating to privacy and modesty may also apply."
"Someone owes me Rs. 3,200 and is refusing to pay it back, what can I do? I'm not sure what steps to take next.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I am not allowed to live in the house I have lived in for years and I have no income of my own. My family is asking me to just let it go, but I don't want to.","Protection of Women from Domestic Violence Act, 2005",Section 20; Section 19,"File an application before the Magistrate seeking a residence order (to stay in the shared household) and a monetary relief order (for maintenance and expenses), with the help of a Protection Officer or lawyer.","The Act allows a woman facing domestic violence to seek a residence order protecting her right to live in the shared household, and a monetary relief order covering loss of earnings, medical expenses, and maintenance.",Family and domestic violence,"Proof of the shared household relationship, details of income and expenses, and evidence of being denied residence or support are needed.","Under the Protection of Women from Domestic Violence Act, 2005 (Section 19 for residence orders and Section 20 for monetary relief), you can apply to the Magistrate for both a residence order and financial support. A Protection Officer can help you file this application; you may also contact the women's helpline 181."
A public authority is refusing to provide information I requested about a government scheme. I want to know my rights in this situation.,"Right to Information Act, 2005",Section 6; Section 19,"File a first appeal with the appellate authority of the department if the response is delayed beyond 30 days or is unsatisfactory, and if still unresolved, file a second appeal with the State or Central Information Commission.","Every citizen has the right to request information from public authorities, which are generally required to respond within 30 days, and a structured appeal mechanism exists for delayed or refused responses.",Constitutional,Proof of the original RTI application (with date and acknowledgment) is needed to calculate the response deadline and file a timely appeal.,"Under the Right to Information Act, 2005 (Section 6 for filing a request; Section 19 for appeals), public authorities must generally respond within 30 days. Since the deadline has passed, you can file a first appeal with the department's appellate authority, and a second appeal with the Information Commission if needed. Keep your original application and any acknowledgment safe."
"I entered into a sale agreement for a house and paid part of the price, but the seller wants to back out after receiving the money.","Transfer of Property Act, 1882",Section 54,"Send a legal notice invoking the sale agreement and demanding execution and registration of the sale deed, or a refund with compensation, and consider filing a suit for specific performance or damages.","A transfer of immovable property for a price is a 'sale' under the Act, and where a seller has accepted consideration under an agreement to sell, they are generally bound to complete the transfer as agreed, subject to the terms of that agreement.",Property,"A valid sale agreement (preferably written and registered/stamped as required), proof of payment, and the specific default by the seller are needed to pursue a remedy.","This concerns the Transfer of Property Act, 1882 (Section 54), which governs transfer of immovable property for a price. You can send a legal notice demanding execution of the sale deed or refund with compensation, and may need to file a suit for specific performance. Keep the sale agreement and payment receipts safe."
"I ordered a air conditioner from an online marketplace, but received a completely different item, and the platform is delaying my refund. This has been really stressful for me and my family.","Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
My employer has not paid my salary for about six months ago despite my repeated requests. I'm worried this might happen again.,"Payment of Wages Act, 1936",Section 5,"Send a written demand for payment, and if unresolved, file a claim before the Authority appointed under the Act (usually the Labour Commissioner's office) for recovery of unpaid wages, potentially with a penalty.","Wages are required to be paid within the prescribed time period, and an employee who is not paid can approach the designated Authority for recovery of the unpaid amount along with compensation.",Employment,"Proof of employment, the wage agreed, and the period for which payment is outstanding are needed.","This is covered under the Payment of Wages Act, 1936 (Section 5). Send a written demand to your employer, and if unpaid, file a claim before the wage Authority (typically the Labour Commissioner's office) for recovery of your dues, potentially with compensation. Keep your salary slips and any employment proof ready."
I want to take legal action against someone but I don't know which law applies to my situation. Please tell me what I can legally do.,Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I paid Rs. 9,999 for a washing machine and it has a manufacturing fault, but the store manager says 'no refund after purchase'. Please tell me what I can legally do.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
Someone stole my sofa set from my house in Nagpur while I was away. This has been really stressful for me and my family.,"Bharatiya Nyaya Sanhita, 2023",Section 303,"File a First Information Report (FIR) at the nearest police station immediately, providing details and any evidence such as CCTV footage or witnesses.","Dishonestly taking movable property out of a person's possession without their consent, with the intention of permanently depriving them of it, constitutes theft.",Criminal,"Details of the stolen items, their approximate value, the time and place of theft, and any available evidence (CCTV, witnesses) should be provided to police.","This is theft under the Bharatiya Nyaya Sanhita, 2023 (Section 303). File an FIR at your nearest police station as soon as possible, providing all details of the stolen items and any available evidence like CCTV footage or witnesses."
"Someone owes me Rs. 9,999 and is refusing to pay it back, what can I do? Please tell me what I can legally do.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I received a message from someone pretending to be a bank official, and after following their instructions, Rs. 5,20,000 was deducted from my account. I don't want to go to court if it can be avoided.","Information Technology Act, 2000 and Applicable law cannot be determined from the facts provided",Section 66D; Not applicable until further facts are known,"Contact your bank immediately to block further transactions and request a chargeback where possible, preserve the messages/call records and transaction details, and file a complaint on the National Cyber Crime Reporting Portal or the 1930 helpline.","Cheating a person by pretending to be someone else (such as a bank official) using electronic communication in order to induce them to part with money is an offence, and the exact provisions applicable also depend on how the deception and transaction occurred.",Cybercrime,"The exact offence and applicable sections depend on details such as how the OTP or information was obtained, the payment method used, and whether any malware or phishing link was involved, so these facts are needed for a precise answer.","This likely involves the Information Technology Act, 2000 (Section 66D), since you were deceived through electronic communication into losing money. Contact your bank immediately, note down the caller's number and messages, and report the incident at cybercrime.gov.in or call 1930. The exact combination of sections will depend on further facts about how the fraud was carried out."
"Someone accessed my email account without my permission and changed the password, locking me out. This happened for the first time recently.","Information Technology Act, 2000",Section 43 read with Section 66,"Change your recovery credentials wherever still possible, use the platform's account recovery process, preserve any notification emails or logs, and file a complaint with the Cyber Cell.","Accessing a computer, computer system, or computer network without the permission of its owner, and causing damage such as deleting data or locking out the rightful user, is penalised as unauthorised access.",Cybercrime,"Login history, notification emails, timestamps, and any available logs help establish that access was unauthorised and identify when it occurred.","This falls under the Information Technology Act, 2000 (Section 43 read with Section 66), covering unauthorised access to a computer resource. Use the platform's account recovery options, preserve any evidence such as login alerts, and file a complaint with your local Cyber Cell or on cybercrime.gov.in."
Someone created a fake social media account using my photos and personal details and is contacting my friends pretending to be me. I have a few messages as proof but nothing else.,"Information Technology Act, 2000",Section 66C,"Report the fake profile to the platform for takedown, file a complaint on the National Cyber Crime Reporting Portal (cybercrime.gov.in) or at the nearest Cyber Cell, and preserve screenshots as evidence.","The fraudulent or dishonest use of another person's electronic identity information, such as photos combined with personal details used to impersonate them online, falls within the Act's identity theft provision.",Cybercrime,"Screenshots of the fake profile, proof that it is not actually operated by you, and details of any resulting harm (harassment, financial loss) strengthen the complaint.","This is a matter of identity theft under the Information Technology Act, 2000 (Section 66C). Report the fake profile to the platform, file a complaint on cybercrime.gov.in or at your local Cyber Cell, and preserve screenshots as evidence."
My photos and personal information were used to create a fake profile that was then used to ask my contacts for money. I have all the receipts and messages saved.,"Information Technology Act, 2000 and Bharatiya Nyaya Sanhita, 2023 and Applicable law cannot be determined from the facts provided",Section 66C; Section 318; Not applicable until further facts are known,"Report the fake profile for takedown, alert your contacts and the defrauded relative to stop any further payments, preserve all evidence, and file a joint complaint covering both the identity misuse and the fraud on the National Cyber Crime Reporting Portal or with the Cyber Cell.","Fraudulently using another person's identity online falls within the identity theft provisions, while separately inducing someone to part with money through that false identity constitutes cheating; both provisions can apply together depending on the facts.",Cybercrime,"Details of exactly how the fake profile was created, what was said to the relative, how much money (if any) was transferred, and any platform records are needed to determine the complete set of applicable provisions.","This likely involves both Information Technology Act, 2000 (Section 66C) for the identity misuse and Bharatiya Nyaya Sanhita, 2023 (Section 318) if money was obtained through the fake identity. Report the profile for takedown, warn your contacts, and file a complaint covering both aspects with the Cyber Cell or on cybercrime.gov.in. More details about the exact fraud will help confirm the complete list of applicable sections."
